,판매순위,제품소개,가격,상품평수,평점
0,1,Introducing Ring Video Doorbell Wired with Ring Chime,$59.99,4.5 out of 5 stars,"6,982"
1,2,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision,…",$34.99,4.5 out of 5 stars,"108,019"
2,3,Fire TV Stick 4K streaming device with Alexa Voice Remote | Dolby Vision | 2018 release,$39.99,4.7 out of 5 stars,"628,487"
3,4,12X42 Binoculars for Adults and Kids with Harness Strap-OVIFM Small Night Vision…,$38.96,4.1 out of 5 stars,776
4,5,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",$99.99,4.4 out of 5 stars,"49,923"
5,6,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",$179.99,4.4 out of 5 stars,"49,923"
6,7,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,$39.99,4.7 out of 5 stars,"1,142,418"
7,8,Roku Express | HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,$24.99,4.8 out of 5 stars,"110,901"
8,9,"Toshiba 32LF221U21 32-inch Smart HD 720p TV - Fire TV Edition, Released 2020",$129.99,4.7 out of 5 stars,"16,666"
9,10,Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless…,$39.99,4.7 out of 5 stars,224
10,11,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless…,$39.00,4.7 out of 5 stars,"83,476"
11,12,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life,…",$249.99,4.4 out of 5 stars,"49,923"
12,13,"Blink Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision,…",$64.99,4.5 out of 5 stars,"108,019"
13,14,"Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life…",$89.99,4.4 out of 5 stars,"49,923"
14,15,"Wyze Cam v3 1080p HD Indoor/Outdoor Video Camera for Security, Pets, Baby Monitor, w…",$32.98,4.6 out of 5 stars,"6,300"
15,16,All-new Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,$44.99,4.8 out of 5 stars,"77,916"
16,17,"Amazon Smart Plug, works with Alexa – A Certified for Humans Device",$24.99,4.7 out of 5 stars,"434,153"
17,18,"Toshiba 50LF621U21 50-inch Smart 4K UHD with Dolby Vision - Fire TV Edition, Released…",$309.99,4.6 out of 5 stars,"7,836"
18,19,New Apple AirTag,$29.00,4.7 out of 5 stars,"1,982"
19,20,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In…,$124.99,4.7 out of 5 stars,"15,957"
20,21,"Monocular Telescope,Newest12x50 High Definition,with Quick Smartphone…",$29.99,3.9 out of 5 stars,23
21,22,"Echo Show 5 (1st Gen, 2019 release) -- Smart display with Alexa – stay connected with…",$49.99,4.7 out of 5 stars,"389,084"
22,23,"Insignia NS-43DF710NA21 43-inch Smart 4K UHD - Fire TV Edition, Released 2020",$219.99,4.6 out of 5 stars,"5,447"
23,24,"All-new Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",$49.99,4.7 out of 5 stars,"280,811"
24,25,"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug,…",$12.75,4.8 out of 5 stars,"55,525"
25,26,"Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life…",$379.99,4.4 out of 5 stars,"49,923"
26,27,Fujifilm Instax Mini Instant Film Twin Pack (White),$12.90,4.8 out of 5 stars,"58,495"
27,28,Insignia NS-24DF310NA21 24-inch Smart HD 720p TV - Fire TV Edition,$99.99,4.6 out of 5 stars,"10,180"
28,29,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots) [Bulk Packaging]",$31.19,4.8 out of 5 stars,376
29,30,Sabrent 4-Port USB 2.0 Hub with Individual LED lit Power Switches (HB-UMLS),$7.99,4.6 out of 5 stars,"71,236"
30,31,Blink Outdoor 2 Cam Kit bundle with Echo Show 5 (2nd Gen),$264.98,4.4 out of 5 stars,"49,923"
31,32,"Roku Ultra 2020 | Streaming Media Player HD/4K/HDR/Dolby Vision with Dolby Atmos,…",$69.00,4.7 out of 5 stars,"10,805"
32,33,Blink Outdoor 3 Cam Kit bundle with Echo Show 5 (2nd Gen),$334.98,4.4 out of 5 stars,"49,923"
33,34,"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)",$299.00,4.9 out of 5 stars,"41,543"
34,35,TP-Link AC1750 Smart WiFi Router (Archer A7) -Dual Band Gigabit Wireless Internet Router…,$57.99,4.5 out of 5 stars,"49,863"
35,36,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Black",$49.99,4.4 out of 5 stars,"190,608"
36,37,Blink Outdoor 5 Cam Kit bundle with Echo Show 5 (2nd Gen),$464.98,4.4 out of 5 stars,"49,923"
37,38,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep…",$149.93,4.6 out of 5 stars,"89,857"
38,39,Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night…,$37.98,4.5 out of 5 stars,"66,334"
39,40,"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 600 Joules, Twist-to-Close…",$12.99,4.8 out of 5 stars,"55,525"
40,41,Dash Cam Front and Rear CHORTAU Dual Dash Cam 3 inch Dashboard Camera Full HD 170°…,$54.95,4.3 out of 5 stars,"14,638"
41,42,"OHill Cable Clips,16 Pack Black Adhesive Cord Holders, Ideal Cable Cords Management for…",$7.98,4.5 out of 5 stars,"32,860"
42,43,"[2021 Upgraded] COMSOON Bluetooth 5.0 Receiver for Car, Noise Cancelling Bluetooth…",$16.99,4.4 out of 5 stars,"3,293"
43,44,Kindle Paperwhite – Now Waterproof with 2x the Storage – Ad-Supported,$129.99,4.6 out of 5 stars,"108,624"
44,45,"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Silver (8th Generation)",$299.00,4.9 out of 5 stars,"41,543"
45,46,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup,…",$99.99,4.7 out of 5 stars,"31,115"
46,47,"USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 2 USB Charging Ports…",$16.97,4.7 out of 5 stars,"32,986"
47,48,"Wyze Cam 1080p HD Indoor WiFi Smart Home Camera with Night Vision, 2-Way Audio,…",$25.98,4.6 out of 5 stars,"41,273"
48,49,"2020 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (8th Generation)",$395.00,4.9 out of 5 stars,"41,543"
49,50,"2 Pack Power Strip Surge Protector - 5 Widely Spaced Outlets 3 USB Charging Ports,…",$27.99,4.8 out of 5 stars,531
50,51,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",$36.09,4.8 out of 5 stars,"38,080"
51,52,USB Wall Charger Surge Protector 5 Outlet Extender with 4 USB Charging Ports ( 1 USB…,$17.99,4.8 out of 5 stars,"9,910"
52,53,"Cord Cover Raceway Kit, 157in Cable Cover Channel, Paintable Cord Concealer System…",$15.99,4.5 out of 5 stars,"17,324"
